dataset,variant,dataset type,BAcc (test),BAcc (test) (std),BAcc (train),BAcc (train) (std),Acc (test),Acc (test) (std),Acc (train),Acc (train) (std),rules,rules (std),conditions_count,conditions_count (std),avg conditions per rule,avg conditions per rule (std),avg rule quality,avg rule quality (std),avg rule precision,avg rule precision (std),avg rule coverage,avg rule coverage (std),training time total (s),training time total (s) (std),training time growing (s),training time growing (s) (std),training time pruning (s),training time pruning (s) (std),induction measure,pruning measure,voting measure,attr types
anneal,complex_conditions,original,0.9286617647058822,0.0974837314772558,0.9683366165669536,0.0173614558136924,0.9877278401997504,0.0098178913199174,0.9946795946590952,0.0020250004318504,44.9,10.016098153583672,44.9,10.016098153583672,2.258896864341742,0.3043128085732852,0.6928389537967943,0.0099898323115124,0.995903285282536,0.0023804624520735,0.1408516472864392,0.010911925395967,1.2182924403999995,0.4823761483299611,1.2688657628,0.916213140858532,0.2274353,0.1662294181249579,C2,C2,C2,mixed
anneal,complex_conditions_inner_alternatives,original,0.9283676470588236,0.0972487360177754,0.9585479595311056,0.0283544004774722,0.9866167290886392,0.0088563559010258,0.9941845451541448,0.0024091584184232,51.6,11.452316602135811,49.5,10.936686477681944,2.789976657329598,0.4235544908129036,0.7250769700108461,0.0124884393032887,0.9944847327682084,0.0025604374133994,0.1733600928928523,0.0277856951298285,1.2287176464,0.492846780463926,1.2137405756,0.5726052226694807,0.1879741752,0.0987135220062862,C2,C2,C2,mixed
anneal,plain,original,0.9314558823529412,0.0864946625706482,0.9545665522626332,0.020580884116491,0.9899625468164794,0.0063636948277756,0.9945558322828576,0.0038345612861267,70.5,10.25508004194344,70.5,10.25508004194344,2.365476631883751,0.2463691974930414,0.641566209578299,0.007504525134772,0.9968506888524504,0.001970214949682,0.1244060050236861,0.0105029436292417,0.4373001891999999,0.179053850462402,0.4555043768,0.2400787668802295,0.0871617056,0.0627960794916847,C2,C2,C2,mixed
auto-mpg,complex_conditions,original,0.6620873015873016,0.0769518109775982,0.917536860049184,0.0158392513767749,0.7864102564102564,0.0630394753685711,0.946400616236909,0.0109015303772064,124.3,21.46340554939448,124.3,21.46340554939448,3.5725869039246647,0.3434894920233213,0.5937645599038397,0.0089330499892751,0.9669746949295344,0.0102185149973972,0.1193137918711235,0.0153964958403618,4.178134591999999,1.5089069108536184,7.938996523599999,2.5119724689593217,0.1932404652,0.0912183621951516,C2,C2,C2,mixed
auto-mpg,complex_conditions_inner_alternatives,original,0.6774761904761906,0.0991189583340874,0.920352438706312,0.0193708371216381,0.7941025641025641,0.0804525061252694,0.9497510153903612,0.0147712296141723,137.0,19.708993998792643,128.1,18.465884459968034,4.797646614813848,0.2072440318805398,0.596885780958657,0.0172894179331924,0.9608185859251244,0.019712539542687,0.1127233359386313,0.0235885220370004,23.79581885,37.51919671373545,50.1208722864,91.28585740232154,0.7368253924000001,2.09230482392625,C2,C2,C2,mixed
auto-mpg,plain,original,0.6736984126984127,0.0616705445724232,0.8540567199493255,0.0487138828976626,0.7688461538461538,0.032918745443782,0.9019965453385412,0.0262236584982374,125.0,5.715476066494082,125.0,5.715476066494082,3.657323704051645,0.1398153845840215,0.546278208709454,0.015564730428567,0.9100307973535602,0.0166159280865307,0.1527885639804599,0.0335466759623063,0.5938024216,0.2847754731852489,1.1676765275999998,0.665200150600652,0.180326066,0.0940982156630595,C2,C2,C2,mixed
autos,complex_conditions,original,0.7554206349206349,0.0525875096018129,0.944065830964798,0.017366750146432,0.7852380952380952,0.0477616911166469,0.946313160987074,0.0148849408895997,71.3,8.35397443669113,71.3,8.35397443669113,2.788835631634732,0.3030856818439712,0.6834164898339493,0.0190067906717751,0.98876965519728,0.00404733939119,0.0770796123600658,0.0075483540024079,1.1836229688000002,1.0141615757317242,3.012505836,2.5741872289089183,0.2944051199999999,0.2628558919820977,C2,C2,C2,mixed
autos,complex_conditions_inner_alternatives,original,0.7327698412698412,0.0891436922591863,0.9453419500425404,0.0165435066528415,0.7611904761904762,0.089938880733383,0.9495828437132784,0.0130673258057519,72.2,6.268084945889685,68.9,6.402256546631734,3.1224915302089213,0.2702722670074548,0.7035951303555837,0.017259857295132,0.9908510277173322,0.0046449455113623,0.0823049566579812,0.0074623181534655,1.4107506088,0.3580535956809993,3.8466050092,0.948885935661706,0.2138072412,0.087458558869425,C2,C2,C2,mixed
autos,plain,original,0.6991904761904761,0.1095892361387405,0.9309435803498356,0.0223485781673084,0.7169047619047619,0.1069248222420268,0.9306374853113984,0.020313945815125,100.3,10.360716405946285,100.3,10.360716405946285,3.5658143516764205,0.2849846752178398,0.6523537523037333,0.0115065708613352,0.960779107123787,0.0140910773769156,0.0790849152239707,0.0079857044920925,0.4761237339999999,0.1715483598513413,0.704725662,0.5059089195582642,0.1052373675999999,0.0442904739524424,C2,C2,C2,mixed
balance-scale,complex_conditions,original,0.8918883415435139,0.0909923025134423,0.9402253452253452,0.0127754640630018,0.9487199180747566,0.0302044003715655,0.968534414644476,0.0062143944194308,57.1,4.121757985239901,57.1,4.1217579852399,2.431379432162041,0.0555021988269248,0.6621297851822354,0.0077848766319345,0.9696240894814288,0.0078097074730952,0.1791624054034117,0.0120767266592193,0.1977570268,0.0461668734935633,0.3048082703999999,0.0878489440893118,0.0641656192,0.0222101616146431,C2,C2,C2,numerical
balance-scale,complex_conditions_inner_alternatives,original,0.8918472906403941,0.0872066944167093,0.9375811425811426,0.0122443541889116,0.9487199180747568,0.0260972258287243,0.9683548984532532,0.005292253386238,58.4,4.742245131674331,57.6,4.402019738458447,2.4726253818645128,0.0791688917604328,0.665175754977356,0.0060169808122112,0.9684738436386688,0.0063818145853717,0.1824287905397062,0.008878627663244,0.1717946775999999,0.059951910982497,0.300205222,0.1122059308447339,0.033956294,0.0119469397246257,C2,C2,C2,numerical
balance-scale,plain,original,0.6287766830870278,0.0305620535185673,0.7122381972381973,0.0241060228364685,0.8591653865847414,0.0292029431360316,0.9127099359683444,0.005728279914004,164.0,7.423685817106696,164.0,7.423685817106696,3.2944425337328966,0.0590674765683847,0.496625853122549,0.0071657748404659,0.8456714657325204,0.0143794996753489,0.1156397782556969,0.0145921359570409,0.3265855664,0.1351322288636171,0.6380332191999999,0.3368756533486247,0.095424174,0.0309460203866625,C2,C2,C2,numerical
bupa-liver-disorders,complex_conditions,original,0.678452380952381,0.0996931706240975,0.9702929470868404,0.0127746979836515,0.6953781512605042,0.0887740874915297,0.9716668395394668,0.0128367786571649,192.3,11.70991982134046,192.3,11.70991982134046,3.468869794566755,0.1006550859926329,0.5245914542174209,0.0057326224128048,0.9803877125435928,0.0049004193533665,0.0482922312481881,0.0042315212724996,0.7793712436,0.1919172365453268,1.3215429548,0.3420999115484149,0.0849581908,0.0295219104648745,C2,C2,C2,numerical
bupa-liver-disorders,complex_conditions_inner_alternatives,original,0.6414285714285713,0.0735012336148689,0.981909701833366,0.0124789239766249,0.6522689075630252,0.0786459649353381,0.981962452027798,0.0115893378574382,233.3,17.192052427405713,210.1,15.559562975867928,4.551263549862247,0.2654892496493568,0.5365100891851862,0.0083269538008243,0.9808611874749176,0.0051085619831553,0.0593932514881953,0.0062741060675737,2.3894511972,0.5587134725432472,4.3189505516,0.8486419473229151,0.072873192,0.0176537446153562,C2,C2,C2,numerical
bupa-liver-disorders,plain,original,0.7126190476190476,0.0700443476120743,0.9483028316043584,0.0141179076416393,0.7248739495798319,0.0710272683629408,0.9497521004045224,0.0121800587804253,216.5,7.397447007057382,216.5,7.397447007057389,4.133355556762882,0.1614616187307895,0.5038949505081938,0.0049606906598743,0.9536039425682498,0.0045398904673117,0.0654584904517489,0.0039988239888777,0.3020796824,0.11528977535961,0.4493349708,0.1726140702456247,0.0780827839999999,0.0390425439673504,C2,C2,C2,numerical
car,complex_conditions,original,0.6583213636443302,0.0797688999032767,0.6964750940038458,0.0587920169521059,0.8830857642156204,0.0266205277707476,0.8889536200497605,0.0197835953443405,120.5,26.64686764998009,120.5,26.64686764998009,4.150989459723579,0.2330709225947698,0.5348619386293657,0.0137984927557209,0.8560222825499603,0.0163213792737793,0.1105721835732762,0.0083525554235296,0.3871251516,0.1346771548928111,0.5882829412,0.1731190512485051,0.1432044187999999,0.0894579966217574,C2,C2,C2,nominal
car,complex_conditions_inner_alternatives,original,0.6583213636443302,0.0797688999032767,0.6964750940038458,0.0587920169521059,0.8830857642156204,0.0266205277707476,0.8889536200497605,0.0197835953443405,120.5,26.64686764998009,120.5,26.64686764998009,4.150989459723579,0.2330709225947698,0.5348619386293657,0.0137984927557209,0.8560222825499603,0.0163213792737793,0.1105721835732762,0.0083525554235296,0.3158265996,0.0956496799128308,0.4613214408,0.0897376357110525,0.0980278364,0.0263116960933561,C2,C2,C2,nominal
car,plain,original,0.5577248110740934,0.0504082510489793,0.6422771772195752,0.0274509399152639,0.8761661513644305,0.0188559515114358,0.9107510394365964,0.0038788044890503,232.0,9.580071908799942,232.0,9.580071908799942,3.4210008931108677,0.0398931467608934,0.3737141440562767,0.0027339879599394,0.7430708827407774,0.0028477654945085,0.0354236464625219,0.0041720576488839,0.8544407672000001,0.1534644574594499,1.0401671212,0.2569289815888875,0.1929125332,0.0931267444270524,C2,C2,C2,nominal
cleveland,complex_conditions,original,0.3155343137254902,0.1035883780062664,0.9068292898335526,0.0339614558118801,0.5911827956989246,0.0756583197277192,0.9369168821374704,0.0200153145466158,208.1,21.42402597293256,208.1,21.42402597293255,4.6577386179940365,0.3051329916927926,0.5580415727404098,0.0087797589199476,0.9403470304155964,0.0096227817090373,0.071031497465622,0.0072346594213796,1.3132900008,0.2201731715149284,2.4178519952,0.4136896933008978,0.1285343448,0.0261979633978517,C2,C2,C2,mixed
cleveland,complex_conditions_inner_alternatives,original,0.2589313725490196,0.0712453408021459,0.914700633997754,0.0237714623748391,0.5482795698924731,0.0538289922960506,0.9424248545572076,0.0143780239677732,214.3,20.800908099834917,208.9,20.431185313958984,5.294336527626002,0.2870524402085409,0.5627162990907111,0.0075773936263566,0.9319363227967852,0.0124891273063176,0.0740679724978441,0.0051349036756064,2.5043960432,0.2502581848465308,4.3611115608,0.357256606715611,0.086519598,0.0130918109783299,C2,C2,C2,mixed
cleveland,plain,original,0.2292745098039215,0.063805429164037,0.8716172267305907,0.0137197095196501,0.5149462365591397,0.070656516802106,0.9108960892049128,0.010341482606021,231.5,9.947082207584517,231.5,9.947082207584517,5.793104089592806,0.2532674509177342,0.5440329343289012,0.0075980074974895,0.8908255763695839,0.0103492892990354,0.1045987171772259,0.0105234851462074,0.1894561128,0.0308982503797978,0.4137861864,0.074606804342905,0.0356740956,0.004380194673526,C2,C2,C2,mixed
credit-a,complex_conditions,original,0.8478921248530756,0.0439626913638971,0.9186801431267406,0.0084568950402333,0.8507246376811594,0.0426928523580399,0.9201288244766506,0.0080765401497816,176.1,24.039088538831454,176.1,24.039088538831454,5.5066986487143685,0.4589703393125272,0.577382695274326,0.0134918363535697,0.9473341073811046,0.0087533812924804,0.1564416334174286,0.0143744341704408,8.177344944400001,1.1168270548625734,14.282535306399998,1.5768415898887451,0.1648997583999999,0.0187137615130151,C2,C2,C2,mixed
credit-a,complex_conditions_inner_alternatives,original,0.8610787514692438,0.0567581746300991,0.9188548507104016,0.0094827502704176,0.8623188405797102,0.0564411664036131,0.9194847020933976,0.0101561395214302,204.7,32.826310585666896,195.2,31.47062122043351,6.2505869666468445,0.6201481900505064,0.5909812036966826,0.0154794917783172,0.9542385060856128,0.0087004487419636,0.1623399649926732,0.0158239846565531,14.3461041616,2.352944146316009,25.1870785864,3.3992535859343023,0.1647894116,0.0186667614858589,C2,C2,C2,mixed
credit-a,plain,original,0.8475612729093205,0.0473479981491862,0.8914027862443558,0.0120098045624802,0.8507246376811594,0.0443024406497019,0.8930756843800323,0.0125240906779086,132.8,13.364962484878967,132.8,13.364962484878973,4.7395873131451225,0.1348149692110838,0.5559833186344492,0.0149887967334489,0.8841478069159185,0.0130401682558482,0.2676701021086148,0.0229450949062175,0.5763593003999999,0.0895538740284493,0.94713501,0.1171203731039761,0.0823179788,0.0103481670454645,C2,C2,C2,mixed
cylinder-bands,complex_conditions,original,0.747036768455948,0.0457444540482258,0.9924889719261972,0.0054030294159388,0.7611111111111111,0.0394772270501715,0.99320987654321,0.0052279393690423,225.3,18.99736823878508,225.3,18.99736823878508,3.1448190149649355,0.2271960704721501,0.5339208795609744,0.0030191669205802,0.9956689104752046,0.0024642993620975,0.0398904945431022,0.0017504708898216,5.550352858400001,9.22708121837868,9.4443435912,16.938319205997416,0.1752457872,0.0672189183103325,C2,C2,C2,mixed
cylinder-bands,complex_conditions_inner_alternatives,original,0.7584239130434783,0.0430339210867782,0.9907586008592402,0.0057009294203458,0.774074074074074,0.0335838777993467,0.9919753086419754,0.0050819296441269,237.6,18.16712537647177,229.4,18.922062372913917,3.598989055085892,0.312797726221173,0.5377290758658464,0.0034174171004927,0.9943419687519556,0.0026530710708101,0.0457562969749608,0.0029693058524062,6.484575250799999,1.0073344422702473,8.3832626124,1.0394559002082853,0.161928294,0.0525403587035421,C2,C2,C2,mixed
cylinder-bands,plain,original,0.7533606799056483,0.0636173168908383,0.9936601131853416,0.0037938365071475,0.7722222222222223,0.0592399659951114,0.9940329218106996,0.0038126041453188,290.1,10.004998750624608,290.1,10.004998750624608,4.163992086767914,0.1693094913063415,0.5329065224306565,0.0034589483699693,0.9899963234409016,0.0037529190703968,0.0456831695950407,0.0039819721710069,0.6867777792,0.1297955736209903,1.1828116672000002,0.2207660054137768,0.0712738548,0.0164202673222123,C2,C2,C2,mixed
echocardiogram,complex_conditions,original,0.8116666666666665,0.1078280396993503,0.9439068505611644,0.0176785971464672,0.8549450549450549,0.0846145917537342,0.9592930609879762,0.0124890552119158,27.6,6.963396361610396,27.6,6.963396361610396,3.208769841269841,0.4418565787103365,0.7666587136710654,0.0245918938466917,0.9724458628161606,0.0117521831179335,0.3517680977214875,0.0256192124998851,0.4532248391999999,0.153304159040713,0.560482214,0.2027977856664967,0.0259463744,0.0126841037329658,C2,C2,C2,mixed
echocardiogram,complex_conditions_inner_alternatives,original,0.8290277777777778,0.09576610184195,0.9504262329387244,0.0177048699081067,0.8697802197802197,0.0734452787157727,0.9635448355787336,0.0119920596083416,29.7,6.147266781984404,27.0,6.253887679764573,4.026230158730159,0.4892829947529309,0.7600015506264646,0.0449962520673748,0.9655289146282502,0.0242400107319059,0.3395482554168995,0.033605858665802,0.4456496372,0.1295534365160194,0.5408023244,0.141566537772413,0.0142280552,0.0073865577299475,C2,C2,C2,mixed
echocardiogram,plain,original,0.8168055555555556,0.1216076897758527,0.9307289691487723,0.013038542121288,0.8478021978021978,0.1013153307935538,0.9406345067362016,0.0138100069263671,22.7,4.571651780264984,22.7,4.571651780264984,2.759246031746032,0.4056348028787205,0.7311499213350522,0.0197535151979373,0.9231923396853086,0.0202843972289872,0.402563869746073,0.0243462910298133,0.2172186356,0.0819756975252733,0.2075379296,0.0802323162806497,0.0197866884,0.0173620604961934,C2,C2,C2,mixed
ecoli,complex_conditions,original,0.7363571428571428,0.1441950001497685,0.884764332250698,0.061993779751025,0.8427807486631016,0.054814565200911,0.9384958363386008,0.01246852269646,85.5,8.276472678623424,85.5,8.276472678623424,3.2278414663242243,0.2305402973263485,0.7461549724201989,0.0143595589116967,0.966917299399682,0.0073773000524503,0.0975482142227203,0.0118173821791143,0.4158482655999999,0.0470234371590514,1.4216472288,0.1744045490605416,0.066799276,0.0260887551685447,C2,C2,C2,numerical
ecoli,complex_conditions_inner_alternatives,original,0.7268809523809524,0.1276695473984379,0.8610235928324033,0.0576464710118045,0.8367201426024955,0.0494307467175458,0.9335355058684676,0.0079897778814998,91.9,11.911245853300896,87.1,11.120051958311866,3.4643437725581654,0.2680583782621738,0.7653571499398831,0.0118048196957075,0.9654461181462312,0.0083795604350886,0.1093745698393854,0.0110721597251962,0.5258223531999999,0.0754090717694771,1.7502109104,0.284037913793851,0.0295026776,0.0046699328951445,C2,C2,C2,numerical
ecoli,plain,original,0.7186190476190475,0.1415898184482598,0.8658360899787902,0.0305034620517245,0.8397504456327984,0.0450102362982863,0.927588354861976,0.0114351104740459,103.2,12.200182148002728,103.2,12.200182148002728,3.588812954235647,0.2095578621054097,0.7763525533947575,0.0184465852296818,0.9450439934700852,0.0125803423561407,0.1467180818042097,0.008645280088587,0.1368764915999999,0.0609860490494438,0.4301051047999999,0.2338394254161411,0.0504662407999999,0.0320965458222574,C2,C2,C2,numerical
flag,complex_conditions,original,0.5441666666666666,0.1249927981464427,0.912987295737334,0.0242728079874335,0.6602631578947368,0.0907498430327279,0.9323809523809524,0.0190106909142989,79.6,7.974960814950753,79.6,7.974960814950753,4.096988304093567,0.2689779857452694,0.6672079155883882,0.0130521866032115,0.9644128573452204,0.0070233690638717,0.1291208305383052,0.0117107666165841,1.1493784104,0.5104899681227892,2.3407230704,1.1239531791944055,0.2783679744,0.1136674715590731,C2,C2,C2,mixed
flag,complex_conditions_inner_alternatives,original,0.576111111111111,0.1064549081173672,0.9149626043793092,0.0227947084240901,0.6749999999999999,0.0957728441319886,0.9335336617405584,0.0194562023439734,82.4,9.203863922891903,81.6,9.264028401414915,4.26923780038331,0.3265534292573643,0.6686239037715114,0.0146778436066575,0.9642863189913404,0.0096566408051056,0.1299986789150022,0.0130904201800428,1.033310912,0.2541731897619045,2.0024574056000004,0.4682522223294811,0.1999623527999999,0.0704588422414739,C2,C2,C2,mixed
