,pred:diaporthe-stem-canker,pred:charcoal-rot,pred:rhizoctonia-root-rot,pred:phytophthora-rot,pred:brown-stem-rot,pred:powdery-mildew,pred:downy-mildew,pred:brown-spot,pred:bacterial-blight,pred:bacterial-pustule,pred:purple-seed-stain,pred:anthracnose,pred:phyllosticta-leaf-spot,pred:alternarialeaf-spot,pred:frog-eye-leaf-spot,pred:diaporthe-pod-&-stem-blight,pred:cyst-nematode,pred:2-4-d-injury,pred:herbicide-injury
true:diaporthe-stem-canker,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true:charcoal-rot,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true:rhizoctonia-root-rot,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true:phytophthora-rot,0,0,0,78,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
true:brown-stem-rot,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true:powdery-mildew,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
true:downy-mildew,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
true:brown-spot,0,0,0,0,0,0,0,75,0,0,0,0,0,1,7,0,0,0,0
true:bacterial-blight,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
true:bacterial-pustule,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0
true:purple-seed-stain,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
true:anthracnose,0,0,0,1,0,0,0,1,0,0,0,37,0,0,0,0,0,0,0
true:phyllosticta-leaf-spot,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0
true:alternarialeaf-spot,0,0,0,0,0,0,0,3,0,0,0,0,0,74,5,0,0,0,0
true:frog-eye-leaf-spot,0,0,0,0,0,0,0,0,0,0,0,0,0,12,70,0,0,0,0
true:diaporthe-pod-&-stem-blight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
true:cyst-nematode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
true:2-4-d-injury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
true:herbicide-injury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
